steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
49185	481	66.13928699493408	185.9	191.0	17.00620801681289	200.0	151.0	9.622326	0.5730508	1.1643953467160464	-0.0006164288427680731	7680	0.20569018103186365
50165	486	66.95297741889954	172.0	192.0	52.89402402708436	200.0	28.0	8.900837	0.5818032	1.1643953467160464	-0.0006164288427680731	7680	0.20569018103186365
51156	491	68.16912698745728	195.0	200.0	13.792107243718133	200.0	156.0	9.211129	0.5916501	0.6856598147004843	0.00040330296382308007	7840	0.4425806093704925
52156	496	69.45900917053223	196.8	200.0	6.696599468718765	200.0	181.0	9.522038	0.57750654	0.5526876875758171	-0.0014101769123226404	8000	0.6115326861712935
53088	501	70.66893815994263	190.8	200.0	17.11269833908272	200.0	149.0	9.852887	0.5839167	0.6545000745356083	-0.005253058522939682	8160	0.4735353622836257
54079	506	72.17943668365479	176.7	200.0	43.16389952520766	200.0	72.0	9.409431	0.5978792	1.0699497307091952	-0.0033239113818854093	8320	0.13064066812294917
55079	511	73.79264855384827	198.3	200.0	5.375872022286245	200.0	183.0	9.271118	0.5649594	0.8202525351941585	-0.004356524022296071	8480	0.34971297167081816
56066	516	75.37779426574707	198.0	200.0	6.324555320336759	200.0	180.0	9.299364	0.58224857	0.8199184614419938	-0.0044853905448690055	8640	0.4733787571902066
57122	522	76.93621253967285	173.4	200.0	49.89811842366626	200.0	78.0	9.74083	0.58419776	0.8823532409220934	-0.007308569885790348	8800	0.31661649707173356
58122	527	78.46108818054199	198.4	200.0	3.6575644598253874	200.0	189.0	9.420021	0.6006119	1.1153420320153236	-0.005772231174632907	8960	0.231790098926689
59049	532	79.68320083618164	197.7	200.0	4.372896319628699	200.0	186.0	8.835899	0.5602356	0.6021248646453023	-0.0065471716457977894	9120	0.5365301573905069
60150	538	80.96892142295837	200.0	200.0	0.0	200.0	200.0	9.151906	0.56919956	0.6184481309354305	-0.00712482382543385	9280	0.4476062673132277
61148	543	82.18021154403687	190.0	193.0	9.153020145163987	200.0	176.0	9.456884	0.5927271	0.7104082480818034	-0.00027584777679294346	9440	0.5165306053428341
62007	548	83.3648841381073	191.3	200.0	24.761304937789976	200.0	121.0	9.470716	0.5837751	0.6540350563824177	-0.0016883952356874943	9600	0.5597635528777302
63184	554	84.70216155052185	186.1	200.0	43.95565947634047	200.0	61.0	9.711627	0.5809369	0.5497669129818678	-0.0045271752635017036	9760	0.6305530750241108
64025	559	85.84717559814453	185.8	200.0	44.90434277439099	200.0	58.0	9.668781	0.56505597	1.047015750259161	-0.0035055507440119984	9920	0.19952081480121253
65017	564	87.08050346374512	199.8	200.0	0.6324555320336759	200.0	198.0	9.253813	0.58450097	0.8370512145757675	-0.007507795738056302	10080	0.2175335346479541
66182	570	88.38577008247375	200.0	200.0	0.0	200.0	200.0	9.148747	0.576295	0.801876078993082	-0.0034396263677626848	10240	0.4408176068672989
67175	575	89.6205222606659	200.0	200.0	0.0	200.0	200.0	8.720914	0.58203965	0.6090277995914221	0.001394607750698924	10400	-0.3802299051564435
